source,lat,lon,date,PRECTOTCORR,PS,RH2M,T2M,WS2M
NASA_POWER,4.65847,-74.08396,2021-07-15,0.03,82.43,70.93,19.17,1.55
NASA_POWER,4.65847,-74.08396,2021-07-16,4.33,82.38,72.44,19.22,1.54
NASA_POWER,4.65847,-74.08396,2021-07-17,2.09,82.36,73.15,19.44,1.59
NASA_POWER,4.65847,-74.08396,2021-07-18,12.5,82.35,73.59,19.6,2.69
NASA_POWER,4.65847,-74.08396,2021-07-19,16.05,82.39,75.7,18.55,2.9
NASA_POWER,4.65847,-74.08396,2021-07-20,2.58,82.33,75.69,18.14,2.47
NASA_POWER,4.65847,-74.08396,2021-07-21,1.06,82.38,76.45,18.77,2.17
NASA_POWER,4.65847,-74.08396,2021-07-22,0.12,82.47,74.49,18.57,2.34
NASA_POWER,4.65847,-74.08396,2021-07-23,0.02,82.48,74.6,18.81,1.46
NASA_POWER,4.65847,-74.08396,2021-07-24,0.92,82.48,79.66,18.38,0.87
NASA_POWER,4.65847,-74.08396,2021-07-25,1.14,82.49,78.62,18.54,0.61
NASA_POWER,4.65847,-74.08396,2021-07-26,0.22,82.46,72.45,19.47,1.22
NASA_POWER,4.65847,-74.08396,2021-07-27,0.21,82.46,72.91,19.43,0.82
NASA_POWER,4.65847,-74.08396,2021-07-28,2.81,82.39,73.93,19.36,1.45
NASA_POWER,4.65847,-74.08396,2021-07-29,0.37,82.38,73.61,19.05,1.65
NASA_POWER,4.65847,-74.08396,2021-07-30,0.01,82.43,72.82,19.3,1.74
NASA_POWER,4.65847,-74.08396,2021-07-31,0.06,82.48,72.23,19.48,1.78
NASA_POWER,4.65847,-74.08396,2021-08-01,0.0,82.53,72.04,19.34,2.27
NASA_POWER,4.65847,-74.08396,2021-08-02,10.16,82.55,76.37,17.88,2.45
NASA_POWER,4.65847,-74.08396,2021-08-03,2.66,82.59,75.26,17.4,2.27
NASA_POWER,4.65847,-74.08396,2021-08-04,0.0,82.61,71.71,17.83,1.74
NASA_POWER,4.65847,-74.08396,2021-08-05,1.9,82.6,73.87,18.1,1.61
NASA_POWER,4.65847,-74.08396,2021-08-06,0.16,82.58,74.81,18.25,1.18
NASA_POWER,4.65847,-74.08396,2021-08-07,0.0,82.49,70.25,19.81,0.83
NASA_POWER,4.65847,-74.08396,2021-08-08,0.0,82.46,80.55,18.54,0.92
NASA_POWER,4.65847,-74.08396,2021-08-09,0.0,82.44,73.72,19.69,1.04
NASA_POWER,4.65847,-74.08396,2021-08-10,9.28,82.45,73.18,19.55,2.3
NASA_POWER,4.65847,-74.08396,2021-08-11,2.12,82.46,72.51,19.06,1.72
NASA_POWER,4.65847,-74.08396,2021-08-12,10.57,82.49,74.71,19.07,0.96
NASA_POWER,4.65847,-74.08396,2021-08-13,1.08,82.5,75.65,18.87,1.12
NASA_POWER,4.65847,-74.08396,2021-08-14,4.79,82.55,75.71,18.71,1.17
NASA_POWER,4.65847,-74.08396,2021-08-15,4.07,82.48,78.2,18.44,0.76
NASA_POWER,4.65847,-74.08396,2021-08-16,5.47,82.37,75.74,19.12,1.06
NASA_POWER,4.65847,-74.08396,2021-08-17,1.58,82.39,73.89,19.63,0.8
NASA_POWER,4.65847,-74.08396,2021-08-18,6.26,82.47,75.6,19.56,0.79
NASA_POWER,4.65847,-74.08396,2021-08-19,0.7,82.38,76.06,19.42,0.92
NASA_POWER,4.65847,-74.08396,2021-08-20,0.06,82.25,74.74,19.34,0.61
NASA_POWER,4.65847,-74.08396,2021-08-21,0.39,82.24,73.44,19.41,0.95
NASA_POWER,4.65847,-74.08396,2021-08-22,0.13,82.21,70.36,19.95,1.46
NASA_POWER,4.65847,-74.08396,2021-08-23,0.13,82.15,73.67,20.03,0.56
NASA_POWER,4.65847,-74.08396,2021-08-24,5.76,82.11,74.85,19.66,0.64
NASA_POWER,4.65847,-74.08396,2021-08-25,1.77,82.17,73.86,20.66,0.83
NASA_POWER,4.65847,-74.08396,2021-08-26,1.2,82.24,68.85,20.23,1.41
NASA_POWER,4.65847,-74.08396,2021-08-27,0.21,82.28,70.12,19.41,1.41
NASA_POWER,4.65847,-74.08396,2021-08-28,0.03,82.35,64.71,19.83,1.86
NASA_POWER,4.65847,-74.08396,2021-08-29,0.37,82.4,71.73,19.15,1.52
NASA_POWER,4.65847,-74.08396,2021-08-30,0.14,82.35,70.01,18.89,1.44
NASA_POWER,4.65847,-74.08396,2021-08-31,0.12,82.38,67.36,19.84,0.58
NASA_POWER,4.65847,-74.08396,2021-09-01,5.16,82.42,73.52,19.55,0.96
NASA_POWER,4.65847,-74.08396,2021-09-02,0.09,82.41,68.29,19.83,1.14
NASA_POWER,4.65847,-74.08396,2021-09-03,15.19,82.34,72.67,19.59,1.04
NASA_POWER,4.65847,-74.08396,2021-09-04,0.03,82.26,72.54,19.84,1.17
NASA_POWER,4.65847,-74.08396,2021-09-05,18.43,82.3,77.66,19.24,0.78
NASA_POWER,4.65847,-74.08396,2021-09-06,5.02,82.43,81.35,18.15,0.98
NASA_POWER,4.65847,-74.08396,2021-09-07,0.43,82.42,73.1,19.21,0.82
NASA_POWER,4.65847,-74.08396,2021-09-08,0.42,82.35,70.87,19.99,1.24
