Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,13,2024,38317,ALL,ALL,Hombre,10TO14
1,13,2024,187,ALL,ALL,Hombre,100UP
1,13,2024,39775,ALL,ALL,Hombre,15TO19
1,13,2024,49166,ALL,ALL,Hombre,20TO24
1,13,2024,60731,ALL,ALL,Hombre,25TO29
1,13,2024,58900,ALL,ALL,Hombre,30TO34
1,13,2024,51094,ALL,ALL,Hombre,35TO39
1,13,2024,46215,ALL,ALL,Hombre,40TO44
1,13,2024,40769,ALL,ALL,Hombre,45TO49
1,13,2024,37633,ALL,ALL,Hombre,5TO9
1,13,2024,36355,ALL,ALL,Hombre,50TO54
1,13,2024,35035,ALL,ALL,Hombre,55TO59
1,13,2024,30978,ALL,ALL,Hombre,60TO64
1,13,2024,23052,ALL,ALL,Hombre,65TO69
1,13,2024,15903,ALL,ALL,Hombre,70TO74
1,13,2024,10370,ALL,ALL,Hombre,75TO79
1,13,2024,6018,ALL,ALL,Hombre,80TO84
1,13,2024,2981,ALL,ALL,Hombre,85TO89
1,13,2024,1389,ALL,ALL,Hombre,90TO94
1,13,2024,594,ALL,ALL,Hombre,95TO99
1,13,2024,31583,ALL,ALL,Mujer,0TO4
1,13,2024,36974,ALL,ALL,Mujer,10TO14
1,13,2024,439,ALL,ALL,Mujer,100UP
1,13,2024,39572,ALL,ALL,Mujer,15TO19
1,13,2024,50066,ALL,ALL,Mujer,20TO24
1,13,2024,61337,ALL,ALL,Mujer,25TO29
1,13,2024,59922,ALL,ALL,Mujer,30TO34
1,13,2024,54413,ALL,ALL,Mujer,35TO39
1,13,2024,52338,ALL,ALL,Mujer,40TO44
1,13,2024,48811,ALL,ALL,Mujer,45TO49
1,13,2024,36355,ALL,ALL,Mujer,5TO9
1,13,2024,44983,ALL,ALL,Mujer,50TO54
1,13,2024,45136,ALL,ALL,Mujer,55TO59
1,13,2024,40810,ALL,ALL,Mujer,60TO64
1,13,2024,32358,ALL,ALL,Mujer,65TO69
1,13,2024,23891,ALL,ALL,Mujer,70TO74
1,13,2024,16289,ALL,ALL,Mujer,75TO79
1,13,2024,9786,ALL,ALL,Mujer,80TO84
1,13,2024,5170,ALL,ALL,Mujer,85TO89
1,13,2024,2448,ALL,ALL,Mujer,90TO94
1,13,2024,937,ALL,ALL,Mujer,95TO99
1,2,2021,3946,ALL,ALL,Hombre,0TO4
1,2,2021,3476,ALL,ALL,Hombre,10TO14
1,2,2021,43,ALL,ALL,Hombre,100UP
1,2,2021,3983,ALL,ALL,Hombre,15TO19
1,2,2021,6573,ALL,ALL,Hombre,20TO24
1,2,2021,7243,ALL,ALL,Hombre,25TO29
1,2,2021,7167,ALL,ALL,Hombre,30TO34
1,2,2021,6425,ALL,ALL,Hombre,35TO39
1,2,2021,5242,ALL,ALL,Hombre,40TO44
1,2,2021,4526,ALL,ALL,Hombre,45TO49
1,2,2021,3421,ALL,ALL,Hombre,5TO9
1,2,2021,4151,ALL,ALL,Hombre,50TO54
1,2,2021,4066,ALL,ALL,Hombre,55TO59
1,2,2021,3623,ALL,ALL,Hombre,60TO64
1,2,2021,2721,ALL,ALL,Hombre,65TO69
1,2,2021,1861,ALL,ALL,Hombre,70TO74
1,2,2021,1242,ALL,ALL,Hombre,75TO79
1,2,2021,824,ALL,ALL,Hombre,80TO84
1,2,2021,439,ALL,ALL,Hombre,85TO89
1,2,2021,225,ALL,ALL,Hombre,90TO94
1,2,2021,72,ALL,ALL,Hombre,95TO99
1,2,2021,3745,ALL,ALL,Mujer,0TO4
1,2,2021,3230,ALL,ALL,Mujer,10TO14
1,2,2021,91,ALL,ALL,Mujer,100UP
1,2,2021,3982,ALL,ALL,Mujer,15TO19
1,2,2021,5951,ALL,ALL,Mujer,20TO24
1,2,2021,7234,ALL,ALL,Mujer,25TO29
1,2,2021,6750,ALL,ALL,Mujer,30TO34
1,2,2021,6025,ALL,ALL,Mujer,35TO39
1,2,2021,5497,ALL,ALL,Mujer,40TO44
1,2,2021,4771,ALL,ALL,Mujer,45TO49
1,2,2021,3132,ALL,ALL,Mujer,5TO9
1,2,2021,4709,ALL,ALL,Mujer,50TO54
1,2,2021,5021,ALL,ALL,Mujer,55TO59
1,2,2021,4505,ALL,ALL,Mujer,60TO64
1,2,2021,3632,ALL,ALL,Mujer,65TO69
1,2,2021,2739,ALL,ALL,Mujer,70TO74
1,2,2021,1880,ALL,ALL,Mujer,75TO79
1,2,2021,1247,ALL,ALL,Mujer,80TO84
1,2,2021,818,ALL,ALL,Mujer,85TO89
1,2,2021,434,ALL,ALL,Mujer,90TO94
1,2,2021,214,ALL,ALL,Mujer,95TO99
1,2,2022,4297,ALL,ALL,Hombre,0TO4
1,2,2022,3531,ALL,ALL,Hombre,10TO14
1,2,2022,38,ALL,ALL,Hombre,100UP
1,2,2022,3954,ALL,ALL,Hombre,15TO19
1,2,2022,6160,ALL,ALL,Hombre,20TO24
1,2,2022,7531,ALL,ALL,Hombre,25TO29
1,2,2022,7442,ALL,ALL,Hombre,30TO34
1,2,2022,6794,ALL,ALL,Hombre,35TO39
1,2,2022,5648,ALL,ALL,Hombre,40TO44
1,2,2022,4738,ALL,ALL,Hombre,45TO49
1,2,2022,3452,ALL,ALL,Hombre,5TO9
1,2,2022,4302,ALL,ALL,Hombre,50TO54
1,2,2022,4151,ALL,ALL,Hombre,55TO59
1,2,2022,3784,ALL,ALL,Hombre,60TO64
1,2,2022,2912,ALL,ALL,Hombre,65TO69
1,2,2022,2006,ALL,ALL,Hombre,70TO74
1,2,2022,1326,ALL,ALL,Hombre,75TO79
1,2,2022,881,ALL,ALL,Hombre,80TO84
1,2,2022,477,ALL,ALL,Hombre,85TO89
1,2,2022,254,ALL,ALL,Hombre,90TO94
1,2,2022,101,ALL,ALL,Hombre,95TO99
1,2,2022,4046,ALL,ALL,Mujer,0TO4
1,2,2022,3168,ALL,ALL,Mujer,10TO14
1,2,2022,85,ALL,ALL,Mujer,100UP
1,2,2022,3874,ALL,ALL,Mujer,15TO19
1,2,2022,5620,ALL,ALL,Mujer,20TO24
1,2,2022,7189,ALL,ALL,Mujer,25TO29
1,2,2022,6915,ALL,ALL,Mujer,30TO34
1,2,2022,6096,ALL,ALL,Mujer,35TO39
1,2,2022,5568,ALL,ALL,Mujer,40TO44
1,2,2022,4898,ALL,ALL,Mujer,45TO49
1,2,2022,3098,ALL,ALL,Mujer,5TO9
1,2,2022,4634,ALL,ALL,Mujer,50TO54
1,2,2022,4920,ALL,ALL,Mujer,55TO59
1,2,2022,4663,ALL,ALL,Mujer,60TO64
1,2,2022,3757,ALL,ALL,Mujer,65TO69
1,2,2022,2938,ALL,ALL,Mujer,70TO74
1,2,2022,1981,ALL,ALL,Mujer,75TO79
1,2,2022,1368,ALL,ALL,Mujer,80TO84
1,2,2022,864,ALL,ALL,Mujer,85TO89
1,2,2022,471,ALL,ALL,Mujer,90TO94
1,2,2022,219,ALL,ALL,Mujer,95TO99
1,2,2023,4720,ALL,ALL,Hombre,0TO4
1,2,2023,3523,ALL,ALL,Hombre,10TO14
1,2,2023,36,ALL,ALL,Hombre,100UP
1,2,2023,3902,ALL,ALL,Hombre,15TO19
1,2,2023,5788,ALL,ALL,Hombre,20TO24
1,2,2023,7714,ALL,ALL,Hombre,25TO29
1,2,2023,7786,ALL,ALL,Hombre,30TO34
1,2,2023,7130,ALL,ALL,Hombre,35TO39
1,2,2023,6000,ALL,ALL,Hombre,40TO44
