Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,9,2026,41548,ALL,ALL,FEMALE,40TO44
1,9,2026,39513,ALL,ALL,FEMALE,45TO49
1,9,2026,27917,ALL,ALL,FEMALE,5TO9
1,9,2026,35154,ALL,ALL,FEMALE,50TO54
1,9,2026,33036,ALL,ALL,FEMALE,55TO59
1,9,2026,30172,ALL,ALL,FEMALE,60TO64
1,9,2026,24750,ALL,ALL,FEMALE,65TO69
1,9,2026,18416,ALL,ALL,FEMALE,70TO74
1,9,2026,12561,ALL,ALL,FEMALE,75TO79
1,9,2026,7419,ALL,ALL,FEMALE,80TO84
1,9,2026,3749,ALL,ALL,FEMALE,85TO89
1,9,2026,1680,ALL,ALL,FEMALE,90TO94
1,9,2026,644,ALL,ALL,FEMALE,95TO99
1,3,2026,10990,ALL,ALL,MALE,0TO4
1,3,2026,10715,ALL,ALL,MALE,10TO14
1,3,2026,30,ALL,ALL,MALE,100UP
1,3,2026,11570,ALL,ALL,MALE,15TO19
1,3,2026,13933,ALL,ALL,MALE,20TO24
1,3,2026,17854,ALL,ALL,MALE,25TO29
1,3,2026,18483,ALL,ALL,MALE,30TO34
1,3,2026,16530,ALL,ALL,MALE,35TO39
1,3,2026,15050,ALL,ALL,MALE,40TO44
1,3,2026,13528,ALL,ALL,MALE,45TO49
1,3,2026,10046,ALL,ALL,MALE,5TO9
1,3,2026,12132,ALL,ALL,MALE,50TO54
1,3,2026,11228,ALL,ALL,MALE,55TO59
1,3,2026,10248,ALL,ALL,MALE,60TO64
1,3,2026,8094,ALL,ALL,MALE,65TO69
1,3,2026,5300,ALL,ALL,MALE,70TO74
1,3,2026,3352,ALL,ALL,MALE,75TO79
1,3,2026,1929,ALL,ALL,MALE,80TO84
1,3,2026,974,ALL,ALL,MALE,85TO89
1,3,2026,394,ALL,ALL,MALE,90TO94
1,3,2026,105,ALL,ALL,MALE,95TO99
1,3,2026,10796,ALL,ALL,FEMALE,0TO4
1,3,2026,10704,ALL,ALL,FEMALE,10TO14
1,3,2026,118,ALL,ALL,FEMALE,100UP
1,3,2026,11679,ALL,ALL,FEMALE,15TO19
1,3,2026,14701,ALL,ALL,FEMALE,20TO24
1,3,2026,18921,ALL,ALL,FEMALE,25TO29
1,3,2026,20268,ALL,ALL,FEMALE,30TO34
1,3,2026,18409,ALL,ALL,FEMALE,35TO39
1,3,2026,17175,ALL,ALL,FEMALE,40TO44
1,3,2026,16036,ALL,ALL,FEMALE,45TO49
1,3,2026,10265,ALL,ALL,FEMALE,5TO9
1,3,2026,14527,ALL,ALL,FEMALE,50TO54
1,3,2026,14201,ALL,ALL,FEMALE,55TO59
1,3,2026,13619,ALL,ALL,FEMALE,60TO64
1,3,2026,11027,ALL,ALL,FEMALE,65TO69
1,3,2026,7977,ALL,ALL,FEMALE,70TO74
1,3,2026,5696,ALL,ALL,FEMALE,75TO79
1,3,2026,3628,ALL,ALL,FEMALE,80TO84
1,3,2026,1837,ALL,ALL,FEMALE,85TO89
1,3,2026,717,ALL,ALL,FEMALE,90TO94
1,3,2026,268,ALL,ALL,FEMALE,95TO99
